yyyy,mm,tmin
2002,8,10.2
2002,9,6
2002,10,2.6
2002,11,2.5
2002,12,1.3
2003,1,-1.5
2003,2,-2.8
2003,3,-0.1
2003,4,1.7
2003,5,5
2003,6,8.6
2003,7,10.4
2003,8,9
2003,9,5.1
2003,10,1.8
2003,11,2.2
2003,12,-1.6
2004,1,-0.5
2004,2,-1.9
2004,3,-0.1
2004,4,2.9
2004,5,4.4
2004,6,8.1
2004,7,8
2004,8,10.1
2004,9,7.1
2004,10,4.1
2004,11,2
2004,12,-0.2
2005,1,0.2
2005,2,-0.1
2005,3,1.1
2005,4,1.5
2005,5,0
2005,6,0
2005,7,0
2005,8,8.4
2005,9,7.6
2005,10,5.8
2005,11,-0.6
2005,12,-0.3
2006,1,0
2006,2,-1.6
2006,3,-1.8
2006,4,0.1
2006,5,3.1
2006,6,8
2006,7,9.4
2006,8,8
2006,9,7.7
2006,10,5.2
2006,11,2.6
2006,12,-0.3
2007,1,1.2
2007,2,0.1
2007,3,0.1
2007,4,3.3
2007,5,3.7
2007,6,7.2
2007,7,8.7
2007,8,7.9
2007,9,5.9
2007,10,4.1
2007,11,1.9
2007,12,-2.4
2008,1,-1.1
2008,2,-1.3
2008,3,-1
2008,4,0
2008,5,4
2008,6,6
2008,7,9.8
2008,8,9.5
2008,9,6.8
2008,10,2.6
2008,11,0
2008,12,-2.5
2009,1,-2.3
2009,2,-1.7
2009,3,0.2
2009,4,1.9
2009,5,3.1
2009,6,6.4
2009,7,8.2
2009,8,9.1
2009,9,7.5
2009,10,4.8
2009,11,0.7
2009,12,-6.5
2010,1,-5.2
2010,2,-5.8
2010,3,-2.7
2010,4,1.2
2010,5,1.9
2010,6,7
2010,7,8.9
2010,8,7.3
2010,9,6.3
2010,10,3.6
2010,11,-1.8
2010,12,-8.1
2011,1,-2.3
2011,2,-0.6
2011,3,-0.4
2011,4,3.1
2011,5,3.9
2011,6,5.4
2011,7,7.2
2011,8,7.4
2011,9,7.9
2011,10,6.1
2011,11,3.1
2011,12,-1.5
2012,1,-0.7
2012,2,0.2
2012,3,1.1
2012,4,-0.1
2012,5,2.6
2012,6,5.9
2012,7,8.2
2012,8,8.6
2012,9,6.1
2012,10,0.8
2012,11,-0.1
2012,12,-2.1
2013,1,-1.5
2013,2,-2.5
2013,3,-4.1
2013,4,0.1
2013,5,3.9
2013,6,6.4
2013,7,9.6
2013,8,9.1
