year,month,rain
2003,6,68.5
2003,7,101.9
2003,8,53.5
2003,9,96.6
2003,10,110.7
2003,11,194.8
2003,12,146.6
2004,1,186.8
2004,2,71.9
2004,3,123.8
2004,4,117.1
2004,5,82
2004,6,111.3
2004,7,104
2004,8,102.6
2004,9,198.6
2004,10,192.8
2004,11,114.2
2004,12,236.2
2005,1,286.2
2005,2,104.5
2005,3,76.8
2005,4,124.8
2005,5,140
2005,6,97.1
2005,7,44
2005,8,132.3
2005,9,123.6
2005,10,134
2005,11,191.3
2005,12,162.9
2006,1,95.9
2006,2,99.7
2006,3,134.8
2006,4,104.5
2006,5,135.6
2006,6,37.8
2006,7,58.9
2006,8,69
2006,9,178.8
2006,10,178
2006,11,192.3
2006,12,260.3
2007,1,202.9
2007,2,116.6
2007,3,113.5
2007,4,55.7
2007,5,121.6
2007,6,121.1
2007,7,191.7
2007,8,87.4
2007,9,120.4
2007,10,92
2007,11,131.8
2007,12,205.5
2008,1,227
2008,2,137.5
2008,3,230.2
2008,4,67.6
2008,5,29.1
2008,6,127.3
2008,7,62
2008,8,218.9
2008,9,178.9
2008,10,249.4
2008,11,179.3
2008,12,129.3
2009,1,143.8
2009,2,61.8
2009,3,123.1
2009,4,110.8
2009,5,128.8
2009,6,67.5
2009,7,243.8
2009,8,254.7
2009,9,87.1
2009,10,132.3
2009,11,322.6
2009,12,133.8
2010,1,86
2010,2,69.1
2010,3,82.5
2010,4,48.8
2010,5,48.2
2010,6,44.3
2010,7,129.3
2010,8,100.2
2010,9,262.4
2010,10,125.9
2010,11,240.1
2010,12,69.8
2011,1,88.4
2011,2,192.7
2011,3,82.6
2011,4,89.2
2011,5,161.1
2011,6,96.1
2011,7,69.3
2011,8,135.1
2011,9,199.1
2011,10,276.7
2011,11,167
2011,12,293.4
2012,1,186
2012,2,169
2012,3,70.7
2012,4,86.5
2012,5,78
2012,6,178.7
2012,7,111.1
2012,8,103.1
2012,9,195.7
2012,10,118.4
2012,11,175.7
2012,12,187.2
2013,1,215.5
2013,2,94.3
2013,3,60.4
2013,4,126.2
2013,5,159.4
2013,6,64.8
2013,7,94.6
2013,8,101.6
2013,9,93.7
2013,10,111.3
2013,11,119.5
2013,12,195.2
2014,1,295.9
2014,2,252.7
2014,3,125.3
2014,4,51.4
2014,5,131.7
2014,6,78.9
2014,7,87.7
2014,8,116
2014,9,15.3
2014,10,158.8
2014,11,134.6
2014,12,282.7
2015,1,257.4
2015,2,148.9
2015,3,150
2015,4,121.4
2015,5,161.1
2015,6,49.8
2015,7,152.3
2015,8,114
2015,9,155.8
2015,10,85.3
2015,11,335.4
2015,12,278.4
2016,1,186.2
2016,2,245.6
2016,3,139.5
2016,4,96.5
2016,5,51.1
2016,6,127.5
2016,7,103.1
2016,8,132
2016,9,196.1
2016,10,41.3
2016,11,160
2016,12,96.3
2017,1,92.2
2017,2,141.7
2017,3,225.8
2017,4,25.3
2017,5,63
2017,6,98.8
2017,7,182.2
2017,8,186.2
2017,9,146.8
2017,10,177.2
2017,11,207
2017,12,181.3
2018,1,269.7
2018,2,155
2018,3,87.3
2018,4,86.2
2018,5,63.7
2018,6,61.4
2018,7,55.4
2018,8,174.9
2018,9,142.2
2018,10,131.2
2018,11,150.6
2018,12,189.1
2019,1,139.1
2019,2,107.9
2019,3,227.3
2019,4,92.6
2019,5,110.5
2019,6,74.8
2019,7,84.1
2019,8,221.9
2019,9,166.3
2019,10,152
2019,11,142.5
2019,12,217.3
